name,diet,prep_time,cook_time,flavor_profile,course
Balu shahi,vegetarian,45,25,sweet,dessert
Boondi,vegetarian,80,30,sweet,dessert
Gajar ka halwa,vegetarian,15,60,sweet,dessert
Ghevar,vegetarian,15,30,sweet,dessert
Gulab jamun,vegetarian,15,40,sweet,dessert
Imarti,vegetarian,10,50,sweet,dessert
Jalebi,vegetarian,10,50,sweet,dessert
Kaju katli,vegetarian,10,20,sweet,dessert
Kalakand,vegetarian,20,30,sweet,dessert
Kheer,vegetarian,10,40,sweet,dessert
Laddu,vegetarian,10,40,sweet,dessert
Lassi,vegetarian,5,5,sweet,dessert
Nankhatai,vegetarian,20,30,sweet,dessert
Petha,vegetarian,10,30,sweet,dessert
Phirni,vegetarian,30,20,sweet,dessert
Rabri,vegetarian,10,45,sweet,dessert
Sheera,vegetarian,10,25,sweet,dessert
Singori,vegetarian,10,20,sweet,dessert
Sohan halwa,vegetarian,10,60,sweet,dessert
Sohan papdi,vegetarian,-1,60,sweet,dessert
Chhena jalebi,vegetarian,10,50,sweet,dessert
Chhena kheeri,vegetarian,-1,60,sweet,dessert
Chhena poda,vegetarian,10,45,sweet,dessert
Cham cham,vegetarian,40,60,sweet,dessert
Kheer sagar,vegetarian,25,60,sweet,dessert
Ledikeni,vegetarian,45,45,sweet,dessert
Lyangcha,vegetarian,20,30,sweet,dessert
Malapua,vegetarian,10,120,sweet,dessert
Mihidana,vegetarian,15,30,sweet,dessert
Misti doi,vegetarian,480,30,sweet,dessert
Pantua,vegetarian,45,45,sweet,dessert
Pithe,vegetarian,15,35,sweet,dessert
Rasabali,vegetarian,15,30,sweet,dessert
Ras malai,vegetarian,180,60,sweet,dessert
Rasgulla,vegetarian,10,90,sweet,dessert
Sandesh,vegetarian,30,20,sweet,dessert
Adhirasam,vegetarian,10,50,sweet,dessert
Ariselu,vegetarian,15,75,sweet,dessert
Bandar laddu,vegetarian,5,35,sweet,dessert
Chikki,vegetarian,10,20,sweet,dessert
Dharwad pedha,vegetarian,20,60,sweet,dessert
Double ka meetha,vegetarian,20,30,sweet,dessert
Gavvalu,vegetarian,10,30,sweet,dessert
Kakinada khaja,vegetarian,10,30,sweet,dessert
Kuzhi paniyaram,vegetarian,10,20,sweet,dessert
Mysore pak,vegetarian,5,20,sweet,dessert
Obbattu holige,vegetarian,180,60,sweet,main course
Palathalikalu,vegetarian,10,25,sweet,dessert
Poornalu,vegetarian,240,60,sweet,dessert
Pongal,vegetarian,5,20,sweet,dessert
Pootharekulu,vegetarian,10,60,sweet,dessert
Qubani ka meetha,vegetarian,10,20,sweet,dessert
Sheer korma,vegetarian,10,20,sweet,dessert
Unni Appam,vegetarian,10,20,sweet,dessert
Kajjikaya,vegetarian,40,15,sweet,dessert
Anarsa,vegetarian,10,50,sweet,dessert
Basundi,vegetarian,10,35,sweet,dessert
Dhondas,vegetarian,10,50,sweet,dessert
Doodhpak,vegetarian,10,60,sweet,dessert
Mahim halwa,vegetarian,10,25,sweet,dessert
Modak,vegetarian,10,15,sweet,dessert
Shankarpali,vegetarian,10,35,sweet,dessert
Shrikhand,vegetarian,10,720,sweet,dessert
Sutar feni,vegetarian,15,55,sweet,dessert
Maach Jhol,non vegetarian,10,40,spicy,main course
Pork Bharta,non vegetarian,-1,-1,spicy,main course
Chak Hao Kheer,vegetarian,240,45,sweet,dessert
Galho,non vegetarian,5,15,spicy,main course
Aloo gobi,vegetarian,10,20,spicy,main course
Aloo tikki,vegetarian,5,20,spicy,main course
Aloo matar,vegetarian,5,40,spicy,main course
Aloo methi,vegetarian,10,40,bitter,main course
Aloo shimla mirch,vegetarian,10,40,spicy,main course
Bhatura,vegetarian,20,20,spicy,main course
Bhindi masala,vegetarian,20,30,spicy,main course
Biryani,non vegetarian,30,120,spicy,main course
Butter chicken,non vegetarian,10,35,spicy,main course
Chana masala,vegetarian,20,30,spicy,main course
Chapati,vegetarian,10,10,-1,main course
Chicken razala,non vegetarian,10,35,spicy,main course
Chicken Tikka masala,non vegetarian,10,50,spicy,main course
Chicken Tikka,non vegetarian,120,45,spicy,starter
Chole bhature,vegetarian,20,30,spicy,main course
Daal baati churma,vegetarian,10,90,spicy,main course
Daal puri,vegetarian,30,30,spicy,main course
Dal makhani ,vegetarian,10,60,sweet,main course
Dal tadka,vegetarian,10,30,spicy,main course
Dum aloo,vegetarian,20,50,spicy,main course
Poha,vegetarian,20,30,spicy,snack
Fara,vegetarian,10,60,spicy,snack
Kachori,vegetarian,30,60,spicy,snack
Kadai paneer,vegetarian,20,30,spicy,main course
Kadhi pakoda,vegetarian,10,60,spicy,main course
Karela bharta,vegetarian,20,50,bitter,main course
Khichdi,vegetarian,40,20,spicy,main course
Kofta,vegetarian,20,40,spicy,main course
Kulfi falooda,vegetarian,45,25,sweet,dessert
Lauki ke kofte,vegetarian,20,40,spicy,main course
Lauki ki subji,vegetarian,10,20,spicy,main course
Litti chokha,vegetarian,45,60,spicy,main course
Makki di roti sarson da saag,vegetarian,25,30,spicy,main course
Misi roti,vegetarian,30,30,spicy,main course
Mushroom do pyaza,vegetarian,10,30,spicy,main course
Mushroom matar,vegetarian,10,30,spicy,main course
Naan,vegetarian,60,30,-1,main course
Navrattan korma,vegetarian,25,40,spicy,main course
Palak paneer,vegetarian,20,40,spicy,main course
Paneer butter masala,vegetarian,20,40,spicy,main course
Paneer tikka masala,vegetarian,20,40,spicy,main course
Pani puri,vegetarian,15,2,spicy,snack
Panjeeri,vegetarian,10,25,sweet,dessert
Papad,vegetarian,5,5,spicy,snack
Paratha,vegetarian,15,45,spicy,main course
Pattor,vegetarian,10,30,spicy,main course
Pindi chana,vegetarian,500,120,spicy,main course
Rajma chaval,vegetarian,15,90,spicy,main course
Rongi,vegetarian,10,30,-1,main course
Samosa,vegetarian,30,30,spicy,snack
Sattu ki roti,vegetarian,10,20,spicy,main course
Shahi paneer,vegetarian,20,40,spicy,main course
Shahi tukra,vegetarian,10,30,sweet,dessert
Vegetable jalfrezi,vegetarian,10,30,spicy,main course
Tandoori Chicken,non vegetarian,240,30,spicy,main course
Tandoori Fish Tikka,non vegetarian,240,30,spicy,starter
Attu,vegetarian,150,25,spicy,snack
Avial,vegetarian,30,45,spicy,main course
Bisi bele bath,vegetarian,30,45,spicy,main course
Currivepillai sadam ,vegetarian,10,20,spicy,main course
Dosa,vegetarian,360,90,spicy,snack
Idiappam,vegetarian,120,30,spicy,snack
Idli,vegetarian,360,90,spicy,snack
Kanji,vegetarian,10,45,-1,snack
Kaara kozhambu,vegetarian,-1,-1,spicy,main course
Keerai kootu,vegetarian,20,30,spicy,main course
Keerai masiyal,vegetarian,-1,-1,spicy,main course
Keerai sadam,vegetarian,10,20,spicy,main course
Keerai poriyal,vegetarian,20,30,spicy,main course
Beef Fry,non vegetarian,10,60,spicy,main course
